model,brand,product,product_parent,file_urls,type,ean,url,thumb,source
NVR-5219 CH-100,Nevir,Arcon Congelador ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5219label.pdf,Etiqueta Energética,8427155801221,https://nevir.es/productos/gama-blanca/frigorificos/arcon-congelador/nvr-5219-ch-100/,https://nevir.es/wp-content/uploads/2021/08/5219-CH100_close-600x600.png,nevir.es
NVR-6140M,Nevir,Microondas ,Pae ,http://nevir.imagar.com/wp-content/uploads/2021/08/6140manual.pdf,Manual de Instrucciones,8427155904472,https://nevir.es/productos/pae/microondas/nvr-6140m/,https://nevir.es/wp-content/uploads/2021/08/6140M-600x600.png,nevir.es
NVR-6140M,Nevir,Microondas ,Pae ,http://nevir.imagar.com/wp-content/uploads/2021/08/6141-6140.pdf,Ficha,8427155904472,https://nevir.es/productos/pae/microondas/nvr-6140m/,https://nevir.es/wp-content/uploads/2021/08/6140M-600x600.png,nevir.es
NVR-2202 S-ION NEGRO,Nevir,Secador De Pelo ,Cuidado Personal ,http://nevir.imagar.com/wp-content/uploads/2021/09/2202manual.pdf,Manual de Instrucciones,8427155902904,https://nevir.es/productos/pae/cuidado-personal/secador-de-pelo/nvr-2202-s-ion-negro/,https://nevir.es/wp-content/uploads/2021/09/2202negro-600x600.png,nevir.es
NVR-2202 S-ION NEGRO,Nevir,Secador De Pelo ,Cuidado Personal ,http://nevir.imagar.com/wp-content/uploads/2021/09/2202.pdf,Ficha,8427155902904,https://nevir.es/productos/pae/cuidado-personal/secador-de-pelo/nvr-2202-s-ion-negro/,https://nevir.es/wp-content/uploads/2021/09/2202negro-600x600.png,nevir.es
NVR-5600 RA BLANCO/NEGRO,Nevir,Aspiradores ,Hogar ,http://nevir.imagar.com/wp-content/uploads/2021/09/5600manual.pdf,Manual de Instrucciones,8427155904700,https://nevir.es/productos/pae/hogar/aspiradores/nvr-5600-ra-blanco-negro/,https://nevir.es/wp-content/uploads/2021/09/5600B-Narriba-600x600.png,nevir.es
NVR-5600 RA BLANCO/NEGRO,Nevir,Aspiradores ,Hogar ,http://nevir.imagar.com/wp-content/uploads/2021/09/5600RA_Presentacion.pdf,Ficha,8427155904700,https://nevir.es/productos/pae/hogar/aspiradores/nvr-5600-ra-blanco-negro/,https://nevir.es/wp-content/uploads/2021/09/5600B-Narriba-600x600.png,nevir.es
NVR-5320NSD,Nevir,11 Puerta ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5320manual.pdf,Manual de Instrucciones,8427155801238,https://nevir.es/productos/gama-blanca/frigorificos/1-puerta/nvr-5320nsd/,https://nevir.es/wp-content/uploads/2021/08/5320NSD_close-600x600.png,nevir.es
NVR-5320NSD,Nevir,11 Puerta ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5320NSD.pdf,Ficha,8427155801238,https://nevir.es/productos/gama-blanca/frigorificos/1-puerta/nvr-5320nsd/,https://nevir.es/wp-content/uploads/2021/08/5320NSD_close-600x600.png,nevir.es
NVR-5320NSD,Nevir,11 Puerta ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5320label.pdf,Etiqueta Energética,8427155801238,https://nevir.es/productos/gama-blanca/frigorificos/1-puerta/nvr-5320nsd/,https://nevir.es/wp-content/uploads/2021/08/5320NSD_close-600x600.png,nevir.es
NVR-200 NEGRO,Nevir,Radio Retro ,Sonido ,http://nevir.imagar.com/wp-content/uploads/2021/08/200manual.pdf,Manual de Instrucciones, 8427155000549,https://nevir.es/productos/sonido/radio-retro/nvr-200-negro/,https://nevir.es/wp-content/uploads/2021/08/200negro-600x600.png,nevir.es
NVR-5400CTNFT,Nevir,Combis ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5400manual.pdf,Manual de Instrucciones,8427155801368,https://nevir.es/productos/gama-blanca/frigorificos/combis/nvr-5400ctnft/,https://nevir.es/wp-content/uploads/2021/08/5400CTNFT_close-600x600.png,nevir.es
NVR-5400CTNFT,Nevir,Combis ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5400-1.pdf,Ficha,8427155801368,https://nevir.es/productos/gama-blanca/frigorificos/combis/nvr-5400ctnft/,https://nevir.es/wp-content/uploads/2021/08/5400CTNFT_close-600x600.png,nevir.es
NVR-140,Nevir,Radio Cassette ,Sonido ,http://nevir.imagar.com/wp-content/uploads/2021/08/140manual.pdf,Manual de Instrucciones, 8427155000488,https://nevir.es/productos/sonido/radio-cassette/nvr-140/,https://nevir.es/wp-content/uploads/2021/08/140-600x600.png,nevir.es
NVR-140,Nevir,Radio Cassette ,Sonido ,http://nevir.imagar.com/wp-content/uploads/2021/08/140.pdf,Ficha, 8427155000488,https://nevir.es/productos/sonido/radio-cassette/nvr-140/,https://nevir.es/wp-content/uploads/2021/08/140-600x600.png,nevir.es
NVR-5330DD,Nevir,22 Puertas ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5330manual.pdf,Manual de Instrucciones,8427155801269,https://nevir.es/productos/gama-blanca/frigorificos/2-puertas/nvr-5330dd/,https://nevir.es/wp-content/uploads/2021/08/5330DD_Close-600x600.png,nevir.es
NVR-5330DD,Nevir,22 Puertas ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5330DD.pdf,Ficha,8427155801269,https://nevir.es/productos/gama-blanca/frigorificos/2-puertas/nvr-5330dd/,https://nevir.es/wp-content/uploads/2021/08/5330DD_Close-600x600.png,nevir.es
NVR-5330DD,Nevir,22 Puertas ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5330label.pdf,Etiqueta Energética,8427155801269,https://nevir.es/productos/gama-blanca/frigorificos/2-puertas/nvr-5330dd/,https://nevir.es/wp-content/uploads/2021/08/5330DD_Close-600x600.png,nevir.es
